pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
774302,317,2041.11,111,9,4
773875,356,3232.7,111,9,4
774528,825,1469.15,115,9,4
774483,60,3110.22,116,9,4
774538,40,1743.2,117,9,4
774316,617,2421.73,117,9,4
774448,1515,3016.23,118,9,4
774304,317,2132.72,118,9,4
774556,1192,4454.47,130,9,4
774540,89,2084.67,133,9,4
774559,1510,3493.21,139,9,4
774465,238,4234.59,142,9,4
774537,1210,3366.53,144,9,4
774500,467,1838.29,146,9,4
774562,1281,2606.54,149,9,4
774520,259,1803.35,149,9,4
774596,276,4225.12,151,9,4
774492,809,2868.77,155,9,4
774529,345,2252.57,156,9,4
774594,1511,4889.21,158,9,4
774310,317,2031.3,158,9,4
774306,317,2956.98,167,9,4
774484,66,1687.84,172,9,4
774514,738,3392.98,174,9,4
774420,897,2957.21,187,9,4
774300,1657,4537.93,192,9,4
774504,851,3597.04,199,9,4
774527,1636,4308.86,199,9,4
774592,825,3300.96,211,9,4
774497,8,2324.12,220,9,4
774498,60,8305.01,232,9,4
774490,1588,3511.09,236,9,4
774477,238,7421.98,252,9,4
774526,1221,4580.99,255,9,4
774525,728,6510.93,260,9,4
774522,288,6211.89,263,9,4
774523,1296,3843.58,263,9,4
774496,841,6683.19,304,9,4
774593,1511,6056.87,304,9,4
774510,337,5179.83,305,9,4
774530,1332,5093.3,306,9,4
774517,8,3490.92,312,9,4
774481,1634,4848.51,320,9,4
774466,767,5630.35,337,9,4
774535,1558,10532.41,341,9,4
774599,1485,6890.98,342,9,4
774506,271,4414.21,362,9,4
774495,267,12838.54,413,9,4
772993,98,7693.68,449,9,4
774470,238,8594.57,499,9,4
774482,1266,12948.56,509,9,4
774515,756,8083.0,513,9,4
774301,317,13555.32,540,9,4
774501,337,8771.22,544,9,4
774512,859,10181.6,581,9,4
774472,213,10084.13,583,9,4
774456,1306,11640.94,587,9,4
773876,356,8490.63,603,9,4
774468,1354,8646.4,605,9,4
774471,238,13485.0,636,9,4
774315,584,11304.65,683,9,4
774518,530,13123.89,725,9,4
774460,1605,16477.97,914,9,4
774502,1262,13447.73,994,9,4
774458,498,22221.46,1108,9,4
774474,213,21386.68,1189,9,4
774461,498,13901.73,1195,9,4
774473,1274,20608.42,1209,9,4
773877,356,22859.4,1343,9,4
774469,897,25857.48,1348,10,4
774479,767,26671.29,1354,10,4
774467,676,27604.83,1569,10,4
774459,1605,18411.15,1584,10,4
773796,435,29374.76,1743,10,4
