NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
776992	22/09/2017	132	3623.66	1577
776989	22/09/2017	162	2361.29	1639
777042	22/09/2017	88	2223.33	178
776986	22/09/2017	642	4876.03	200
776983	22/09/2017	1983	16774.15	492
777041	22/09/2017	119	2898.09	615
777043	22/09/2017	1838	16525.98	819
777044	22/09/2017	220	3192.67	880
777002	22/09/2017	1645	23935.75	59
776995	22/09/2017	36	1224.55	339
777017	22/09/2017	569	12957.3	709
777037	22/09/2017	337	3758.77	897
777038	22/09/2017	81	1288.65	897
777241	22/09/2017	1885	15578.88	531
777212	23/09/2017	951	17407.76	593
777215	23/09/2017	502	9710.47	593
777213	23/09/2017	749	16182.29	593
777214	23/09/2017	5543	111319.64	710
777311	23/09/2017	3415	42439.87	1510
777211	23/09/2017	461	8981.35	1510
777283	23/09/2017	903	6495.72	1612
777264	23/09/2017	312	5843.83	37
777286	23/09/2017	64	2553	37
777278	23/09/2017	669	17272.09	102
777290	23/09/2017	959	16592.93	139
777254	23/09/2017	316	7238.28	165
777259	23/09/2017	89	3975.53	238
777271	23/09/2017	294	6598.59	238
777273	23/09/2017	25	2093.5	238
777255	23/09/2017	126	2546.58	238
777284	23/09/2017	16	1416.5	271
777265	23/09/2017	123	7546.58	305
777276	23/09/2017	153	3936.67	305
777277	23/09/2017	70	3566.93	305
777257	23/09/2017	431	8613.96	305
777258	23/09/2017	54	2058.02	305
777268	23/09/2017	134	2333.05	328
777282	23/09/2017	572	11128.76	478
777285	23/09/2017	404	3237.92	481
777272	23/09/2017	338	5175.21	514
777289	23/09/2017	199	3988.71	556
777256	23/09/2017	101	2769.79	611
777261	23/09/2017	408	7901.17	653
777279	23/09/2017	179	3125.19	653
777253	23/09/2017	352	6054.01	735
777263	23/09/2017	141	4097.37	814
777291	23/09/2017	283	8026.21	1170
777288	23/09/2017	246	2606.23	1192
777260	23/09/2017	73	4750.19	1264
777274	23/09/2017	227	2615.77	1272
777280	23/09/2017	217	3138.73	1305
777287	23/09/2017	425	7901.97	1306
777267	23/09/2017	102	3355.05	1317
777266	23/09/2017	185	2746.34	1328
777269	23/09/2017	335	3994.46	1328
777275	23/09/2017	73	1687.05	1413
777270	23/09/2017	92	3983.86	1485
776540	22/09/2017	147	1628.39	584
776541	22/09/2017	562	6167.91	584
777242	23/09/2017	1105	10944.86	59
777239	23/09/2017	1161	21533.53	89
777223	23/09/2017	53	1256.78	130
777228	23/09/2017	103	1409.46	227
777220	23/09/2017	183	3127.06	227
777312	23/09/2017	1328	25948.44	227
777243	23/09/2017	1425	17208.51	243
777219	23/09/2017	80	3550.37	307
777229	23/09/2017	159	2264.19	307
777230	23/09/2017	341	10191.12	307
777235	23/09/2017	158	4436.33	307
777293	23/09/2017	50	1258.31	328
777225	23/09/2017	1116	17042.93	496
777262	23/09/2017	548	10561.29	966
777292	23/09/2017	33	1266.07	1185
777294	23/09/2017	285	4516.56	1348
777240	23/09/2017	351	6332.34	1385
777222	23/09/2017	493	6803.58	1385
777224	23/09/2017	211	5563.48	1385
777234	23/09/2017	311	4839.48	1385
777244	23/09/2017	130	1650.82	1385
777226	23/09/2017	1448	29964.27	1429
777313	25/09/2017	2719	39052.32	492
777209	25/09/2017	5842	40024	492
777308	25/09/2017	7101	121418.34	1411
777309	25/09/2017	267	2566.68	1411
777310	25/09/2017	84	1317.44	1411
777217	25/09/2017	2868	58756.13	498
777216	25/09/2017	2563	46253.05	579
777218	25/09/2017	2585	23728.94	1303
777247	25/09/2017	373	4902.67	4
777317	25/09/2017	756	12166.61	200
777314	25/09/2017	324	6668.99	329
777319	25/09/2017	129	2095.44	615
777318	25/09/2017	223	4070.94	615
777315	25/09/2017	136	2032.56	833
777316	25/09/2017	1596	28727.2	844
777252	25/09/2017	874	21928.92	1202
774717	13/09/2017	127	2075.96	291
773867	11/09/2017	1146	22743.7	317
777028	23/09/2017	613	11694.65	427
775298	14/09/2017	57	1238.77	566
776539	22/09/2017	69	1253.58	584
776542	22/09/2017	184	4425.01	584
777029	23/09/2017	1470	16130.78	1234
776807	22/09/2017	271	2415.94	1370
777449	25/09/2017	194	2669.06	329
777741	25/09/2017	779	5782	1237
777866	25/09/2017	72	4380.37	1237
777739	25/09/2017	1239	8964	1237
777450	25/09/2017	173	1338.16	1306
