NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
796068	22/11/2017	43	1436.32	487
796042	22/11/2017	318	6430.52	498
796031	22/11/2017	195	3891.61	507
796040	22/11/2017	135	1828.4	615
796041	22/11/2017	109	2094.56	736
796036	22/11/2017	342	6933.94	738
796056	22/11/2017	76	1833.7	1274
796128	22/11/2017	1273	24557.59	1306
796044	22/11/2017	244	4998.63	1492
796077	22/11/2017	242	4865.14	1596
796063	22/11/2017	76	1892.81	1647
793906	22/11/2017	42	1263.72	4
793908	22/11/2017	102	1228.46	4
793914	22/11/2017	223	4122.8	4
793933	22/11/2017	288	3560.67	98
793801	22/11/2017	148	1969.45	98
793925	22/11/2017	148	2946.15	98
793932	22/11/2017	151	3017.91	98
793939	22/11/2017	210	3217.99	98
793940	22/11/2017	277	3821.89	98
793941	22/11/2017	324	4088.3	98
793930	22/11/2017	163	2763.57	317
793931	22/11/2017	119	1485.2	317
793935	22/11/2017	437	8245.94	317
793937	22/11/2017	287	3979.2	317
793944	22/11/2017	252	4154.66	317
793945	22/11/2017	99	2289.9	317
793952	22/11/2017	973	15722.03	566
793946	22/11/2017	168	2738.51	566
793947	22/11/2017	160	1941.54	566
793899	22/11/2017	98	1871.34	584
793894	22/11/2017	76	1483.77	584
793900	22/11/2017	46	404.74	584
793901	22/11/2017	114	2339.17	584
793902	22/11/2017	151	2166.87	584
793903	22/11/2017	105	1687.62	584
793904	22/11/2017	274	4504.86	584
793911	22/11/2017	164	3074.24	584
793950	22/11/2017	171	2756.86	617
793951	22/11/2017	134	1748.64	617
792298	22/11/2017	92	1935.79	845
793953	22/11/2017	140	2821.12	944
793954	22/11/2017	142	3004.36	944
793928	22/11/2017	144	2190.49	1007
793920	22/11/2017	322	4077.2	1278
793921	22/11/2017	343	5385.86	1278
793895	22/11/2017	240	3034.55	1278
793912	22/11/2017	961	13408.11	1278
793913	22/11/2017	161	2022.28	1278
793886	22/11/2017	55	2756.11	1287
793888	22/11/2017	57	2541.28	1287
793891	22/11/2017	144	2492.15	1287
792719	20/11/2017	1260	16858.49	1625
793934	22/11/2017	49	1588.66	1657
795890	23/11/2017	85	1549.34	234
795891	23/11/2017	205	3908.17	234
795892	23/11/2017	396	5851.9	234
795893	23/11/2017	163	3071.95	234
795894	23/11/2017	138	3263.19	234
795883	23/11/2017	155	2767.34	234
795884	23/11/2017	246	4851.92	234
795885	23/11/2017	87	1691.9	234
795886	23/11/2017	101	1732.2	234
795887	23/11/2017	113	1289.77	234
795888	23/11/2017	154	2541.43	234
795889	23/11/2017	193	3290.76	234
795882	23/11/2017	72	1379.15	234
795868	23/11/2017	66	1303.27	329
795869	23/11/2017	314	4831.2	329
795871	23/11/2017	28	1707.03	329
795881	23/11/2017	158	2885.81	329
795856	23/11/2017	34	1337.8	329
795857	23/11/2017	437	7773.78	329
795858	23/11/2017	292	5669.65	329
795860	23/11/2017	67	1387.1	329
795862	23/11/2017	271	5085.8	329
795865	23/11/2017	96	1751.14	329
795866	23/11/2017	121	2456.67	329
795867	23/11/2017	278	3958.24	329
795873	23/11/2017	170	2863.54	340
795874	23/11/2017	245	4089.83	340
795875	23/11/2017	253	4337.54	340
795876	23/11/2017	175	3040.69	340
795877	23/11/2017	157	2641.36	340
795878	23/11/2017	175	3040.69	340
795879	23/11/2017	253	4337.54	340
795880	23/11/2017	230	3781.43	340
795863	23/11/2017	239	4212.64	340
795864	23/11/2017	230	3781.43	340
795870	23/11/2017	2327	45979.23	974
795859	23/11/2017	230	5617.72	974
795855	23/11/2017	642	7866.73	1510
